Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
2389,7.42,Wu Dong Qian Kun,39024,https://myanimelist.net/anime/39024/Wu_Dong_Qian_Kun,ONA,12,Jan 2019,Apr 2019,Finished Airing,N/A,N/A,Motion Magic,Novel,"Action, Adventure, Fantasy",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#7244,"9,310",66,"Jan 27, 2019","Apr 7, 2019"
2390,7.42,Yao Shen Ji 4th Season,40734,https://myanimelist.net/anime/40734/Yao_Shen_Ji_4th_Season,ONA,52,Apr 2020,Sep 2020,Finished Airing,N/A,N/A,Ruo Hong Culture,Novel,"Action, Adventure, Fantasy, Romance",N/A,8 min. per ep.,PG-13 - Teens 13 or older,#7898,"7,489",30,"Apr 8, 2020","Sep 27, 2020"
2391,7.42,Yao Shen Ji 6th Season,59891,https://myanimelist.net/anime/59891/Yao_Shen_Ji_6th_Season,ONA,52,Apr 2022,Oct 2022,Finished Airing,N/A,N/A,Ruo Hong Culture,Novel,"Action, Adventure, Fantasy, Romance",N/A,8 min. per ep.,PG-13 - Teens 13 or older,#15612,803,0,"Apr 23, 2022","Oct 15, 2022"
2392,7.42,Yoru no Kuni,48727,https://myanimelist.net/anime/48727/Yoru_no_Kuni,ONA,3,Apr 2021,Sep 2021,Finished Airing,N/A,N/A,Studio Daisy,Original,"Fantasy, Slice of Life",N/A,8 min. per ep.,G - All Ages,#5863,"15,670",54,"Apr 16, 2021","Sep 12, 2021"
2393,7.42,Yowamushi Pedal: Limit Break,50552,https://myanimelist.net/anime/50552/Yowamushi_Pedal__Limit_Break,TV,25,Oct 2022,Mar 2023,Finished Airing,Fall 2022,Sundays at 00:00 (JST),TMS Entertainment,Manga,Sports,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#4559,"29,228",148,"Oct 9, 2022","Mar 26, 2023"
2394,7.41,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,30187,https://myanimelist.net/anime/30187/Sakurako-san_no_Ashimoto_ni_wa_Shitai_ga_Umatteiru,TV,12,Oct 2015,Dec 2015,Finished Airing,Fall 2015,Thursdays at 00:30 (JST),TROYCA,Novel,"Drama, Mystery, Suspense",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#1191,"229,088","1,017","Oct 8, 2015","Dec 24, 2015"
2395,7.41,Shinryaku! Ika Musume,8557,https://myanimelist.net/anime/8557/Shinryaku_Ika_Musume,TV,12,Oct 2010,Dec 2010,Finished Airing,Fall 2010,Tuesdays at 02:00 (JST),Diomedéa,Manga,Comedy,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#1271,"211,372","1,150","Oct 5, 2010","Dec 21, 2010"
2396,7.41,Shugo Chara!,2923,https://myanimelist.net/anime/2923/Shugo_Chara,TV,51,Oct 2007,Sep 2008,Finished Airing,Fall 2007,Saturdays at 09:30 (JST),Satelight,Manga,Comedy,Shoujo,24 min. per ep.,PG - Children,#1188,"229,689","3,111","Oct 6, 2007","Sep 27, 2008"
2397,7.41,Simoun,879,https://myanimelist.net/anime/879/Simoun,TV,26,Apr 2006,Sep 2006,Finished Airing,Spring 2006,Tuesdays at 01:30 (JST),Studio Deen,Original,"Drama, Fantasy, Girls Love, Sci-Fi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#3653,"45,728",441,"Apr 4, 2006","Sep 26, 2006"
2398,7.41,"Tamayura: Hitotose - Attakai Kaze no Omoide, nanode",11793,https://myanimelist.net/anime/11793/Tamayura__Hitotose_-_Attakai_Kaze_no_Omoide_nanode,Special,1,May 2012,May 2012,Finished Airing,N/A,N/A,TYO Animations,Original,Slice of Life,N/A,24 min.,G - All Ages,#7106,"9,800",3,N/A,N/A
2399,7.41,Tanaka-kun wa Itsumo Kedaruge Specials,33157,https://myanimelist.net/anime/33157/Tanaka-kun_wa_Itsumo_Kedaruge_Specials,Special,7,Jun 2016,Dec 2016,Finished Airing,N/A,N/A,SILVER LINK.,Web manga,Slice of Life,N/A,4 min. per ep.,PG-13 - Teens 13 or older,#4007,"38,489",34,"Jun 24, 2016","Dec 22, 2016"
2400,7.41,Tenshi na Konamaiki,200,https://myanimelist.net/anime/200/Tenshi_na_Konamaiki,TV,50,Apr 2002,Mar 2003,Finished Airing,Spring 2002,Saturdays at 00:45 (JST),TMS Entertainment,Manga,"Comedy, Romance",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#4496,"30,217",154,"Apr 7, 2002","Mar 30, 2003"
2401,7.41,Tiger &amp; Bunny 2,41595,https://myanimelist.net/anime/41595/Tiger___Bunny_2,ONA,13,Apr 2022,Apr 2022,Finished Airing,N/A,N/A,Bandai Namco Pictures,Original,"Action, Comedy, Mystery, Sci-Fi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#4856,"25,254",100,N/A,N/A
2402,7.41,Tottemo! Luckyman,3672,https://myanimelist.net/anime/3672/Tottemo_Luckyman,TV,50,Apr 1994,Mar 1995,Finished Airing,Spring 1994,Thursdays at 19:00 (JST),Studio Pierrot,Manga,"Comedy, Sci-Fi",Shounen,24 min. per ep.,G - All Ages,#9776,"4,268",37,"Apr 6, 1994","Mar 23, 1995"
2403,7.41,Watashi no Shiawase na Kekkon 2nd Season,56701,https://myanimelist.net/anime/56701/Watashi_no_Shiawase_na_Kekkon_2nd_Season,TV,13,Jan 2025,Apr 2025,Finished Airing,Winter 2025,Mondays at 22:30 (JST),Kinema Citrus,Novel,"Drama, Fantasy, Romance",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1829,"138,591",643,"Jan 6, 2025","Apr 9, 2025"
2404,7.41,WWW.Working!!,33094,https://myanimelist.net/anime/33094/WWWWorking,TV,13,Oct 2016,Dec 2016,Finished Airing,Fall 2016,Saturdays at 23:30 (JST),A-1 Pictures,Web manga,Comedy,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1603,"164,542",294,"Oct 1, 2016","Dec 24, 2016"
2405,7.41,Zero no Tsukaima F,11319,https://myanimelist.net/anime/11319/Zero_no_Tsukaima_F,TV,12,Jan 2012,Mar 2012,Finished Airing,Winter 2012,Saturdays at 08:30 (JST),J.C.Staff,Light novel,"Action, Adventure, Comedy, Fantasy, Romance, Ecchi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#578,"440,330","1,229","Jan 7, 2012","Mar 24, 2012"
2406,7.41,Ajin Part 1: Shoudou,30868,https://myanimelist.net/anime/30868/Ajin_Part_1__Shoudou,Movie,1,Nov 2015,Nov 2015,Finished Airing,N/A,N/A,Polygon Pictures,Manga,"Action, Horror, Mystery, Supernatural",Seinen,1 hr. 44 min.,R - 17+ (violence &amp; profanity),#3557,"47,786",51,N/A,N/A
2407,7.41,Akazukin Chacha,103,https://myanimelist.net/anime/103/Akazukin_Chacha,TV,74,Jan 1994,Jun 1995,Finished Airing,Winter 1994,Fridays at 18:00 (JST),Gallop,Manga,"Adventure, Comedy, Fantasy, Romance",Shoujo,24 min. per ep.,G - All Ages,#5621,"17,530",103,"Jan 7, 1994","Jun 30, 1995"
2408,7.41,City Hunter: The Secret Service,1477,https://myanimelist.net/anime/1477/City_Hunter__The_Secret_Service,Special,1,Jan 1996,Jan 1996,Finished Airing,N/A,N/A,Sunrise,Manga,"Action, Comedy, Mystery",Shounen,1 hr. 30 min.,PG-13 - Teens 13 or older,#7165,"9,596",6,N/A,N/A
2409,7.41,Cowboy Bebop: Yose Atsume Blues,4037,https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues,Special,1,Jun 1998,Jun 1998,Finished Airing,N/A,N/A,Sunrise,Original,Sci-Fi,N/A,27 min.,R - 17+ (violence &amp; profanity),#3375,"52,472",103,N/A,N/A
2410,7.41,Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,8362,https://myanimelist.net/anime/8362/Crayon_Shin-chan_Movie_08__Arashi_wo_Yobu_Jungle,Movie,1,Apr 2000,Apr 2000,Finished Airing,N/A,N/A,Shin-Ei Animation,Manga,"Action, Adventure, Comedy",Seinen,1 hr. 28 min.,G - All Ages,#7136,"9,694",10,N/A,N/A
2411,7.41,Gunsmith Cats,650,https://myanimelist.net/anime/650/Gunsmith_Cats,OVA,3,Nov 1995,Sep 1996,Finished Airing,N/A,N/A,OLM,Manga,"Action, Comedy",Seinen,29 min. per ep.,PG-13 - Teens 13 or older,#2879,"70,308",626,"Nov 1, 1995","Sep 1, 1996"
2412,7.41,High School DxD BorN,24703,https://myanimelist.net/anime/24703/High_School_DxD_BorN,TV,12,Apr 2015,Jun 2015,Finished Airing,Spring 2015,Saturdays at 23:00 (JST),TNK,Light novel,"Action, Comedy, Romance, Supernatural, Ecchi",N/A,24 min. per ep.,R+ - Mild Nudity,#253,"838,326","3,930","Apr 4, 2015","Jun 20, 2015"
2413,7.41,High School DxD BorN: Yomigaeranai Fushichou,32215,https://myanimelist.net/anime/32215/High_School_DxD_BorN__Yomigaeranai_Fushichou,OVA,1,Dec 2015,Dec 2015,Finished Airing,N/A,N/A,TNK,Light novel,"Action, Comedy, Romance, Supernatural, Ecchi",N/A,24 min.,R+ - Mild Nudity,#1694,"152,070",284,N/A,N/A
2414,7.41,Idoly Pride,40842,https://myanimelist.net/anime/40842/Idoly_Pride,TV,12,Jan 2021,Mar 2021,Finished Airing,Winter 2021,Sundays at 23:30 (JST),Lerche,Mixed media,Drama,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#2823,"72,604",566,"Jan 10, 2021","Mar 28, 2021"
2415,7.41,Ikoku Meiro no Croisée The Animation,9938,https://myanimelist.net/anime/9938/Ikoku_Meiro_no_Croisée_The_Animation,TV,12,Jul 2011,Sep 2011,Finished Airing,Summer 2011,Mondays at 00:30 (JST),Satelight,Manga,Slice of Life,Seinen,23 min. per ep.,G - All Ages,#3108,"61,345",168,"Jul 4, 2011","Sep 19, 2011"
2416,7.41,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,9032,https://myanimelist.net/anime/9032/Inazuma_Eleven__Saikyou_Gundan_Ogre_Shuurai,Movie,1,Dec 2010,Dec 2010,Finished Airing,N/A,N/A,OLM,Game,Sports,N/A,1 hr. 30 min.,G - All Ages,#4091,"36,764",73,N/A,N/A
2417,7.41,Isekai Shokudou,34012,https://myanimelist.net/anime/34012/Isekai_Shokudou,TV,12,Jul 2017,Sep 2017,Finished Airing,Summer 2017,Tuesdays at 01:35 (JST),SILVER LINK.,Light novel,"Fantasy, Gourmet, Slice of Life",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#958,"281,163","1,119","Jul 4, 2017","Sep 19, 2017"
2418,7.41,Jiyi Guanli Ju,50462,https://myanimelist.net/anime/50462/Jiyi_Guanli_Ju,ONA,1,Sep 2020,Sep 2020,Finished Airing,N/A,N/A,Flint Sugar,Original,"Action, Mystery",N/A,18 min.,PG-13 - Teens 13 or older,#10188,"3,759",22,N/A,N/A
2419,7.41,K: Seven Stories Movie 1 - R:B - Blaze,33248,https://myanimelist.net/anime/33248/K__Seven_Stories_Movie_1_-_R_B_-_Blaze,Movie,1,Jul 2018,Jul 2018,Finished Airing,N/A,N/A,GoHands,Original,"Action, Drama",N/A,55 min.,PG-13 - Teens 13 or older,#2895,"69,544",157,N/A,N/A
2420,7.41,"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu",15437,https://myanimelist.net/anime/15437/Kore_wa_Zombie_desu_ka_of_the_Dead__Hai_Minotake_ni_Attemasu,OVA,1,Oct 2012,Oct 2012,Finished Airing,N/A,N/A,Studio Deen,Light novel,"Action, Comedy, Fantasy, Ecchi",N/A,26 min.,R+ - Mild Nudity,#2171,"110,140",59,N/A,N/A
2421,7.41,Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,19195,https://myanimelist.net/anime/19195/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_4_Ghost_Stands_Alone,Movie,1,Sep 2014,Sep 2014,Finished Airing,N/A,N/A,Production I.G,Manga,"Mystery, Sci-Fi, Suspense",N/A,59 min.,R - 17+ (violence &amp; profanity),#3741,"43,919",22,N/A,N/A
2422,7.41,Koupen-chan,60534,https://myanimelist.net/anime/60534/Koupen-chan,,,Apr 2025,,Currently Airing,Spring 2025,Sundays at 08:28 (JST),Lesprit,Original,Slice of Life,N/A,1 min.,G - All Ages,#9040,"5,345",69,N/A,N/A
2423,7.41,"Kumo no Mukou, Yakusoku no Basho",433,https://myanimelist.net/anime/433/Kumo_no_Mukou_Yakusoku_no_Basho,Movie,1,Nov 2004,Nov 2004,Finished Airing,N/A,N/A,CoMix Wave Films,Original,"Award Winning, Drama, Romance, Sci-Fi",N/A,1 hr. 30 min.,PG-13 - Teens 13 or older,#1193,"228,742",743,N/A,N/A
2424,7.41,Mahou Shoujo Lyrical Nanoha,76,https://myanimelist.net/anime/76/Mahou_Shoujo_Lyrical_Nanoha,TV,13,Oct 2004,Dec 2004,Finished Airing,Fall 2004,Sundays at 00:30 (JST),Seven Arcs,Original,"Action, Comedy, Drama",N/A,25 min. per ep.,PG-13 - Teens 13 or older,#2186,"109,006","1,078","Oct 3, 2004","Dec 26, 2004"
2425,7.41,Majimoji Rurumo: Kanketsu-hen,38357,https://myanimelist.net/anime/38357/Majimoji_Rurumo__Kanketsu-hen,OVA,2,Jul 2019,Jul 2019,Finished Airing,N/A,N/A,J.C.Staff,Manga,"Comedy, Supernatural, Ecchi",Shounen,27 min. per ep.,PG-13 - Teens 13 or older,#7060,"9,955",16,N/A,N/A
2426,7.41,Marmalade Boy,334,https://myanimelist.net/anime/334/Marmalade_Boy,TV,76,Mar 1994,Sep 1995,Finished Airing,Spring 1994,Sundays at 08:30 (JST),Toei Animation,Manga,"Comedy, Drama, Romance",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,#3141,"59,907",621,"Mar 13, 1994","Sep 3, 1995"
2427,7.41,Meitantei Conan Magic File 3: Shinichi to Ran Mahjong Pai to Tanabata no Omoide,6231,https://myanimelist.net/anime/6231/Meitantei_Conan_Magic_File_3__Shinichi_to_Ran_Mahjong_Pai_to_Tanabata_no_Omoide,OVA,1,Apr 2009,Apr 2009,Finished Airing,N/A,N/A,TMS Entertainment,Manga,Mystery,Shounen,20 min.,PG-13 - Teens 13 or older,#6285,"13,078",14,N/A,N/A
2428,7.41,Meitantei Conan: Hiiro no Fuzai Shoumei,47413,https://myanimelist.net/anime/47413/Meitantei_Conan__Hiiro_no_Fuzai_Shoumei,Movie,1,Feb 2021,Feb 2021,Finished Airing,N/A,N/A,TMS Entertainment,Manga,"Action, Comedy, Drama, Mystery",Shounen,1 hr. 32 min.,PG-13 - Teens 13 or older,#7824,"7,633",33,N/A,N/A
2429,7.41,Mitsuboshi Colors,35078,https://myanimelist.net/anime/35078/Mitsuboshi_Colors,TV,12,Jan 2018,Mar 2018,Finished Airing,Winter 2018,Sundays at 22:30 (JST),SILVER LINK.,Manga,Slice of Life,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#2190,"108,537",349,"Jan 7, 2018","Mar 25, 2018"
2430,7.41,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,15315,https://myanimelist.net/anime/15315/Mondaiji-tachi_ga_Isekai_kara_Kuru_Sou_desu_yo,TV,10,Jan 2013,Mar 2013,Finished Airing,Winter 2013,Saturdays at 01:30 (JST),Diomedéa,Light novel,"Action, Comedy, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#398,"610,406","3,738","Jan 12, 2013","Mar 16, 2013"
2431,7.41,Nichijou: Nichijou no 0-wa,8857,https://myanimelist.net/anime/8857/Nichijou__Nichijou_no_0-wa,OVA,1,Mar 2011,Mar 2011,Finished Airing,N/A,N/A,Kyoto Animation,Manga,Comedy,Shounen,22 min.,PG-13 - Teens 13 or older,#2451,"91,399",63,N/A,N/A
2432,7.41,Pokemon,527,https://myanimelist.net/anime/527/Pokemon,TV,276,Apr 1997,Nov 2002,Finished Airing,Spring 1997,Thursdays at 19:00 (JST),OLM,Game,"Action, Adventure, Comedy, Fantasy",Kids,24 min. per ep.,PG - Children,#352,"667,841","5,700","Apr 1, 1997","Nov 14, 2002"
2433,7.41,Pokemon Legends Arceus: Yuki Hodo Kishi Futaai,51145,https://myanimelist.net/anime/51145/Pokemon_Legends_Arceus__Yuki_Hodo_Kishi_Futaai,ONA,3,May 2022,Jun 2022,Finished Airing,N/A,N/A,Wit Studio,Game,"Action, Adventure, Fantasy",Kids,10 min. per ep.,PG - Children,#5553,"18,094",57,"May 18, 2022","Jun 22, 2022"
2434,7.41,Psycho-Pass 2,23281,https://myanimelist.net/anime/23281/Psycho-Pass_2,TV,11,Oct 2014,Dec 2014,Finished Airing,Fall 2014,Fridays at 00:50 (JST),Tatsunoko Production,Original,"Action, Mystery, Sci-Fi, Suspense",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#342,"684,715","1,510","Oct 10, 2014","Dec 19, 2014"
2435,7.40,Initial D Extra Stage 2,5228,https://myanimelist.net/anime/5228/Initial_D_Extra_Stage_2,OVA,1,Oct 2008,Oct 2008,Finished Airing,N/A,N/A,A.C.G.T.,Manga,"Action, Drama",Seinen,54 min.,PG-13 - Teens 13 or older,#3622,"46,432",63,N/A,N/A
2436,7.40,Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,5290,https://myanimelist.net/anime/5290/Keroro_Gunsou_Movie_3__Tenkuu_Daikessen_de_Arimasu,Movie,1,Mar 2008,Mar 2008,Finished Airing,N/A,N/A,Sunrise,Manga,"Comedy, Sci-Fi",Shounen,1 hr. 35 min.,PG - Children,#8839,"5,697",14,N/A,N/A
2437,7.40,Kiniro no Corda: Primo Passo,1579,https://myanimelist.net/anime/1579/Kiniro_no_Corda__Primo_Passo,TV,25,Oct 2006,Mar 2007,Finished Airing,Fall 2006,Mondays at 01:00 (JST),Yumeta Company,Visual novel,Romance,Josei,24 min. per ep.,PG-13 - Teens 13 or older,#2303,"101,030",868,"Oct 2, 2006","Mar 26, 2007"
2438,7.40,Kono Sekai no Tanoshimikata: Secret Story Film,42750,https://myanimelist.net/anime/42750/Kono_Sekai_no_Tanoshimikata__Secret_Story_Film,Movie,1,Dec 2020,Dec 2020,Finished Airing,N/A,N/A,CLAP,Music,N/A,N/A,1 hr. 30 min.,PG-13 - Teens 13 or older,#9298,"4,944",44,N/A,N/A
2439,7.40,Li Linke de Xiao Guaner 2nd Season,54014,https://myanimelist.net/anime/54014/Li_Linke_de_Xiao_Guaner_2nd_Season,ONA,10,Jan 2023,Mar 2023,Finished Airing,N/A,N/A,Delight Animation,Original,"Gourmet, Slice of Life",N/A,18 min. per ep.,PG-13 - Teens 13 or older,#15907,743,2,"Jan 30, 2023","Mar 27, 2023"
2440,7.40,Love Live! School Idol Project,15051,https://myanimelist.net/anime/15051/Love_Live_School_Idol_Project,TV,13,Jan 2013,Mar 2013,Finished Airing,Winter 2013,Sundays at 22:00 (JST),Sunrise,Other,Slice of Life,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#540,"465,199","8,193","Jan 6, 2013","Mar 31, 2013"
2441,7.40,Mardock Scramble: The First Compression,8100,https://myanimelist.net/anime/8100/Mardock_Scramble__The_First_Compression,Movie,1,Oct 2010,Oct 2010,Finished Airing,N/A,N/A,GoHands,Novel,"Action, Sci-Fi, Suspense",N/A,1 hr. 9 min.,R+ - Mild Nudity,#2741,"76,551",187,N/A,N/A
2442,7.40,Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha,36616,https://myanimelist.net/anime/36616/Mob_Psycho_100__Reigen_-_Shirarezaru_Kiseki_no_Reinouryokusha,Special,1,Mar 2018,Mar 2018,Finished Airing,N/A,N/A,Bones,Web manga,"Action, Comedy, Supernatural",N/A,1 hr.,PG-13 - Teens 13 or older,#2143,"112,930",171,N/A,N/A
2443,7.40,Mugen no Ryvius,593,https://myanimelist.net/anime/593/Mugen_no_Ryvius,TV,26,Oct 1999,Mar 2000,Finished Airing,Fall 1999,Wednesdays at 18:00 (JST),Sunrise,Original,"Award Winning, Drama, Sci-Fi",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#3572,"47,483",346,"Oct 6, 1999","Mar 29, 2000"
2444,7.40,"New Game! Watashi, Shain Ryokou tte Hajimete nanode...",34277,https://myanimelist.net/anime/34277/New_Game_Watashi_Shain_Ryokou_tte_Hajimete_nanode,OVA,1,May 2017,May 2017,Finished Airing,N/A,N/A,Doga Kobo,4-koma manga,Comedy,N/A,22 min.,PG-13 - Teens 13 or older,#2697,"78,250",48,N/A,N/A
